Name, n, m, c, num_var, num_clauses, peak, sol, Time, status
MERTENS,7,6,6,1271,3591,164,2,0.005441666,Optimal
MERTENS,7,2,18,3017,8788,54,4,0.041374445,Optimal
BOWMAN,8,5,20,5215,21166,146,7,0.099753618,Optimal
JAESCHKE,9,8,6,2033,7041,173,2,0.011523724,Optimal
JAESCHKE,9,3,18,4956,17112,47,4,0.076351643,Optimal
JACKSON,11,8,7,4998,14763,166,6,0.069754124,Optimal
JACKSON,11,3,21,10296,32746,57,15,0.596175194,Optimal
MANSOOR,11,4,48,28860,125772,111,5,0.548482895,Optimal
MANSOOR,11,2,94,36602,229609,71,6,2.583255768,Optimal
MITCHELL,21,8,14,36881,114841,225,11,1.488134146,Optimal
MITCHELL,21,3,39,78470,249998,84,15,8.177732944,Optimal
ROSZIEG,25,10,14,55597,180681,242,16,4.701093197,Optimal
ROSZIEG,25,6,25,98969,298366,135,29,475.9289677,Optimal
ROSZIEG,25,4,32,87349,282942,118,12,11.44391656,Optimal
HESKIA,28,8,138,-,-,-,-,>3600,Timeout
HESKIA,28,5,205,-,-,-,-,>3600,Timeout
HESKIA,28,3,342,-,-,-,-,>3600,Timeout
BUXEY,29,14,25,131774,560926,315,16,88.79813814,Optimal
BUXEY,29,11,33,173719,710585,238,23,2601.257546,Optimal
BUXEY,29,8,41,215664,812387,194,15,601.8651278,Optimal
BUXEY,29,7,47,247159,917822,184,14,185.1782243,Optimal
SAWYER,30,14,25,158390,603402,358,9,5.722836971,Optimal
SAWYER,30,12,30,-,-,-,-,>3600,Timeout
SAWYER,30,8,41,-,-,-,-,>3600,Timeout
SAWYER,30,7,47,270807,945511,192,12,314.4114377,Optimal
GUNTHER,35,14,40,428191,1684570,406,8,13.32556844,Optimal
GUNTHER,35,9,54,455986,1816496,276,8,50.46752214,Optimal
GUNTHER,35,9,61,-,-,-,-,>3600,Timeout
WARNECKER,58,25,65,-,-,-,-,>3600,Timeout
