MERTENS,7,6,6,39706,114,79047,164,Optimal,4.100662469863892
MERTENS,7,2,18,15675,40,31576,54,Optimal,0.3230757713317871
BOWMAN,8,5,20,148349,122,295178,146,Optimal,1.9178943634033203
JAESCHKE,9,8,6,55234,133,109828,173,Optimal,0.6508090496063232
JAESCHKE,9,3,18,6989,24,15112,47,Optimal,0.2013249397277832
JACKSON,11,8,7,103517,167,206783,166,Optimal,1.2065951824188232
JACKSON,11,3,21,30787,48,64347,57,Optimal,0.5558798313140869
MANSOOR,11,4,48,217132,91,437025,111,Optimal,3.0098626613616943
MANSOOR,11,2,94,43106,25,103709,71,Optimal,0.7395050525665283
MITCHELL,21,8,14,325747,202,652204,225,Optimal,7.728892087936401
MITCHELL,21,3,39,122556,65,259199,84,Optimal,2.8905282020568848
ROSZIEG,25,10,14,494986,248,1003049,242,Optimal,17.802698373794556
ROSZIEG,25,4,32,203125,94,426997,118,Optimal,7.840859413146973
BUXEY,29,14,25,1359499,308,2768814,315,Optimal,127.49351215362549
BUXEY,29,7,47,1014248,185,2092741,184,Optimal,163.27918410301208
SAWYER,30,14,25,1725140,350,3515984,358,Optimal,35.56383800506592
SAWYER,30,7,47,851825,168,1787297,192,Optimal,159.46709370613098
GUNTHER,35,14,40,3158270,372,6453509,406,Optimal,58.71612811088562
GUNTHER,35,9,54,2347574,269,4848634,276,Optimal,2232.78058052063
BUXEY,29,8,41,980100,196,2028758,194,Optimal,328.4149205684662
ROSZIEG,25,6,25,283186,132,586977,135,Optimal,264.3680307865143
BUXEY,29,11,33,1127167,239,2314605,0,Time out,3609.203510284424
SAWYER,30,12,30,1792289,324,3664243,0,Time out,3612.7349491119385
SAWYER,30,8,41,1106135,210,2297397,210,Optimal,2068.837684392929
GUNTHER,35,9,61,1967163,228,4148023,0,Time out,3616.568958759308
HESKIA,28,8,138,4239029,228,8824895,229,Optimal,3385.346047401428
HESKIA,28,3,342,1576129,76,3747380,97,Optimal,436.19666481018066
HESKIA,28,5,205,2066334,122,4543954,156,Optimal,480.0493974685669

MERTENS,7,6,6,2,1,164,0.002000570297241211
MERTENS,7,2,18,12,10,54,0.004302263259887695
BOWMAN,8,5,20,15,9,146,0.007012128829956055
JAESCHKE,9,8,6,2,1,173,0.0007102489471435547
JAESCHKE,9,3,18,27,23,47,0.010540008544921875
JACKSON,11,8,7,6,5,166,0.005710124969482422
JACKSON,11,3,21,44,40,57,0.027080774307250977
MANSOOR,11,4,48,4,2,111,0.015107393264770508
MANSOOR,11,2,94,7,3,71,0.044875383377075195
MITCHELL,21,8,14,113,70,225,0.06897091865539551
MITCHELL,21,3,39,45,39,84,0.12442493438720703
ROSZIEG,25,10,14,312,88,242,0.2563176155090332
ROSZIEG,25,4,32,92,76,118,0.2828516960144043
BUXEY,29,14,25,15964,8031,315,301.8701066970825
BUXEY,29,7,47,46,45,184,1.6230528354644775
SAWYER,30,14,25,252,251,358,0.44483399391174316
SAWYER,30,7,47,76,51,192,2.501525640487671
GUNTHER,35,14,40,5,4,406,0.16460156440734863
GUNTHER,35,9,54,100,61,276,0.740851640701294
BUXEY,29,8,41,5294,4131,194,92.49470782279968
ROSZIEG,25,6,25,2257,1778,135,54.62628436088562
SAWYER,30,8,41,20941,19652,210,2244.3196337223053
HESKIA,28,3,342,172,150,97,106.77568674087524
HESKIA,28,5,205,1233,1187,156,304.19851422309875
HESKIA,28,8,138,6460,3856,229,1080.212123632431
BUXEY,29,11,33,43179,42423,238,3600.2795181274414
SAWYER,30,12,30,74571,32812,286,3600.5064985752106
GUNTHER,35,9,61,41635,24680,237,3601.431869506836
WARNECKER,58,25,65,111853,27043,722,3600.338735818863
Pb_staircase
MERTENS,7,6,6,2,1,164,0.0
MERTENS,7,2,18,7,6,54,0.01794576644897461
BOWMAN,8,5,20,3,2,146,0.008040904998779297
JAESCHKE,9,8,6,2,1,173,0.002829313278198242
JAESCHKE,9,3,18,7,6,47,0.030731201171875
JACKSON,11,8,7,7,6,166,0.019022464752197266
JACKSON,11,3,21,10,9,57,0.11176466941833496
MANSOOR,11,4,48,3,2,111,0.043454647064208984
MANSOOR,11,2,94,3,2,71,0.07268428802490234
MITCHELL,21,8,14,7,6,225,0.427781343460083
MITCHELL,21,3,39,12,11,84,0.9478874206542969
ROSZIEG,25,10,14,15,14,242,2.432640314102173
ROSZIEG,25,4,32,11,10,118,2.6245100498199463
BUXEY,29,14,25,14,13,315,42.251259565353394
BUXEY,29,7,47,13,12,184,39.25441360473633
SAWYER,30,14,25,13,12,358,7.035869359970093
SAWYER,30,7,47,7,6,192,37.939948081970215
GUNTHER,35,14,40,4,3,406,3.880112409591675
GUNTHER,35,9,54,11,10,276,32.12120962142944
BUXEY,29,8,41,21,20,194,149.4899387359619
ROSZIEG,25,6,25,23,22,135,38.735719442367554
SAWYER,30,8,41,21,20,210,784.6092853546143
HESKIA,28,3,342,17,16,97,373.3250558376312
HESKIA,28,5,205,14,13,156,413.4941213130951
HESKIA,28,8,138,19,18,229,1276.728694677353


BUXEY,29,11,33,24,23,238,669.1089189052582
